I	M	N	T
12.1	12	4.9	12.2
12.2	12	4.9	12.2
12.2	12	4.9	12.2
12.2	12	4.9	12.2
12.2	12.1	4.9	12.2
12.2	12.1	4.9	12.2
12.2	12.1	4.9	12.2
12.2	12.1	4.9	12.2
12.2	11.8	4.9	12.2
12.2	11.5	4.9	12.2
12.2	11.5	4.9	12.2
12.2	11.5	4.9	12.2
12.2	11.5	4.9	12.2
12.2	11.7	4.9	12.2
12.2	11.9	4.9	12.2
12.2	11.9	4.9	12.2
12.2	11.9	5.1	12.2
12.2	11.9	5.3	12.2
12.3	11.6	5.3	12.2
12.3	11.6	5.3	12.2
12.3	11.6	5.3	12.2
12.3	11.6	5.3	12.2
12.3	11.6	5.3	12.2
12.3	11.6	5.3	12.2
13.3	11.6	5.3	12.2
13.6	11.6	5.3	12.2
13.9	11.6	5.3	12.2
13.9	11.6	5.3	12.2
13.9	11.6	5.3	12.2
13.9	11.6	5.3	12.2
14	11.6	5.3	12.5
14	11.6	5.3	12.6
14	11.6	5.3	12.6
14	11.6	5.4	12.6
14	11.6	5.4	12.6
14	11.6	5.4	12.6
13.7	11.6	5.4	12.8
13.7	12.4	5.4	12.8
14	12.4	5.4	12.8
14.7	12.3	5.4	12.9
14.8	13.1	5.4	12.9
14.8	13.3	5.4	12.9
14.8	12.4	5.4	12.9
14.9	12.4	5.3	5.5
14.9	12.4	5.4	12.9
14.9	12.4	5.4	12.9
15	12.4	5.4	12.9
15.1	12.4	5.4	12.9
15.1	12.4	5.4	12.9
15.1	12.4	5.4	12.9
15.1	12.4	5.4	13.6
15.1	12.4	4.5	13
15.1	12.4	4.5	13
15.1	12.4	4.6	13
15.1	12.4	4.6	13
15.1	12.4	4.6	13
15.1	12.4	4.6	13
15.1	12.4	4.6	4.6
15.1	12.4	4.7	7.8
15.6	12.4	4.7	11.9
15.7	12.4	4.7	11.9
15.7	12.4	4.7	12.6
7.6	12.4	4.7	12.6
8.9	12.4	4.7	12.9
9.5	12.5	4.8	11.6
9.8	12.6	4.8	11.6
10.1	12.6	4.8	11.7
11.2	12.6	4.8	11.7
11.3	12.6	4.8	11.6
11.7	12.6	4.8	11.6
12.4	12.9	4.8	12
12.4	12.9	4.8	12
12.5	12.9	4.8	12
12.5	12.9	4.8	12.1
12.5	12.9	4.8	12.1
12.7	12.9	4.8	12.1
12.7	12.4	4.8	12.1
12.7	12.5	4.8	12.1
12.7	12.5	4.8	12.1
12.7	12.5	4.8	12.1
12.7	12.5	4.8	12.1
12.7	12.5	4.8	12.1
12.7	12.5	4.8	12.1
12.7	12.5	4.8	12.1
12.7	12.5	4.8	12.1
12.8	12.5	4.8	12.1
12.9	12.6	4.8	12.1
11.2	12.6	4.8	12.1
11.3	12.6	4.8	12.1
11.3	12.6	4.8	12.1
11.3	12.6	4.8	12.1
11.4	12.6	4.8	12.1
